display  D   display_settings.c:212  debug_display_settings           [   0.14239] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14250] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.14258] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14270] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.14278] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14290] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14298] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14309] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14318] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14343] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.14353] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14364] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.14373] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14384] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14393] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14404] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14412] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14424] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.14432] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14443] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.14452] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14463] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.14472] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14483] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14491] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14503] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14511] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14522] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.14531] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14542] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.14551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14562] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14572] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14584] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14593] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
